tone,weather,b,b_chin,b_cheek,s,s_chin,s_cheek,h,h_chin,h_cheek
warm,spring,7.24,32.23,9.09,9.6,51.78,12.05,30.0,25.88,30.0
warm,spring,8.53,13.48,13.94,13.62,21.11,22.61,26.9,30.0,28.0
warm,spring,4.71,10.32,6.75,14.29,28.65,18.22,4.0,8.24,6.15
warm,spring,7.77,23.39,11.9,10.76,44.71,17.27,32.5,23.68,30.0
warm,spring,3.89,13.0,7.99,14.43,33.33,23.46,0.0,13.33,7.14
warm,spring,2.3,17.33,9.42,3.06,30.69,16.07,34.29,24.83,21.67
warm,spring,8.91,17.87,11.8,14.1,34.97,20.66,23.64,20.62,21.82
warm,spring,6.43,10.44,10.26,16.67,23.65,24.14,8.82,12.5,11.02
warm,spring,5.92,10.55,4.56,12.89,17.92,12.0,12.41,23.68,6.67
warm,spring,12.17,14.71,15.65,18.1,21.86,23.5,28.5,29.36,28.24
warm,spring,8.46,11.34,8.0,14.83,20.43,14.0,18.86,17.87,17.14
warm,spring,7.84,11.35,8.29,14.1,20.52,14.92,18.18,17.87,16.22
warm,spring,4.89,13.09,11.14,14.0,26.92,19.11,14.29,19.59,20.93
warm,spring,6.27,12.76,5.41,12.05,23.38,11.55,14.0,16.67,10.34
warm,spring,9.1,16.37,10.44,17.76,29.85,20.36,17.37,21.0,16.0
warm,spring,2.18,21.13,9.41,2.61,42.77,16.0,40.0,23.82,21.67
warm,spring,8.1,11.5,9.21,13.97,19.11,15.15,20.62,22.33,22.29
warm,spring,5.83,10.86,6.61,16.83,29.21,17.84,5.14,9.23,6.32
warm,spring,13.5,23.36,15.66,19.57,37.38,25.34,28.0,24.0,23.57
warm,spring,11.37,12.61,5.71,27.66,23.22,11.01,11.54,19.59,16.8
warm,spring,0.94,15.0,16.15,0.79,24.89,27.73,60.0,21.05,20.66
warm,spring,7.14,10.11,9.7,14.16,19.28,18.86,14.55,16.74,15.35
warm,spring,10.73,14.48,13.35,18.7,24.53,22.17,19.53,23.08,21.18
warm,spring,10.51,13.4,10.89,17.72,22.57,18.52,20.0,21.18,18.67
warm,spring,10.85,16.34,13.53,18.88,31.53,25.0,19.09,17.81,17.14
warm,spring,14.49,13.17,7.54,30.22,26.34,16.06,18.55,16.67,13.71
warm,spring,7.17,11.18,6.03,18.22,24.68,18.52,5.58,9.47,0.0
warm,spring,9.27,13.69,15.46,17.53,25.93,29.71,13.64,13.33,12.68
warm,spring,6.86,10.66,6.41,14.08,22.92,14.88,16.0,16.36,11.25
warm,spring,12.68,14.02,12.4,17.26,19.37,17.24,32.31,32.09,30.0
warm,spring,9.17,10.61,9.39,18.18,21.0,19.66,14.29,15.65,11.74
warm,spring,6.32,12.67,6.81,10.71,20.54,12.07,22.5,23.48,19.29
warm,spring,3.14,11.85,11.85,12.67,29.46,27.33,357.86,23.68,16.6
warm,spring,10.1,15.07,12.26,17.87,16.19,20.1,22.7,51.18,25.71
warm,spring,7.48,15.95,12.28,14.75,46.46,20.85,13.33,14.24,19.59
warm,spring,6.44,10.7,9.73,13.51,20.37,21.15,14.0,17.73,13.64
warm,spring,8.18,11.04,9.69,15.42,20.28,19.53,17.14,19.09,15.71
warm,spring,6.92,10.6,10.0,12.96,24.59,23.4,19.29,14.67,13.64
warm,spring,10.7,13.1,9.22,17.81,23.38,16.6,19.09,17.78,16.1
warm,spring,9.24,13.13,10.75,18.75,23.58,18.18,14.29,17.78,19.09
warm,spring,7.6,11.2,6.93,14.35,22.07,13.17,15.88,16.6,15.0
warm,spring,12.32,16.68,14.82,16.74,25.7,21.49,30.0,27.27,28.16
warm,spring,2.05,25.68,9.18,4.62,40.62,14.89,10.91,29.23,22.29
warm,spring,9.41,14.88,11.29,17.35,31.49,19.51,22.94,17.89,24.0
warm,spring,8.59,10.8,9.71,13.77,17.28,14.98,21.18,21.43,22.7
warm,spring,9.45,12.05,11.29,13.45,17.32,16.09,28.12,28.5,29.19
warm,spring,10.61,12.55,10.94,17.5,22.22,17.24,27.43,25.71,29.14
warm,spring,10.58,12.5,11.6,15.18,18.4,28.03,37.24,30.77,24.32
warm,spring,9.85,5.92,6.38,25.29,16.18,17.65,12.27,7.27,6.67
warm,spring,8.66,10.65,12.05,17.67,21.68,25.0,13.17,13.47,13.09
warm,spring,17.81,10.59,12.46,18.97,17.57,19.76,41.25,23.08,20.82
warm,spring,9.81,16.24,10.73,17.03,27.31,18.7,20.0,22.37,19.53
warm,spring,0.49,9.57,9.81,0.49,17.22,17.76,60.0,21.67,20.53
warm,spring,11.65,12.05,9.93,26.42,26.03,25.47,10.71,11.58,6.67
warm,spring,3.15,14.78,4.76,13.5,31.03,16.26,356.25,14.29,358.5
warm,spring,13.23,6.67,6.02,30.12,11.64,10.55,18.0,20.0,19.2
warm,spring,16.76,17.84,10.93,24.02,23.73,18.83,28.36,31.07,18.67
warm,spring,2.28,5.51,3.72,9.48,16.07,12.34,357.27,3.33,0.0
warm,spring,9.09,11.81,10.18,15.61,20.69,19.67,19.46,18.75,14.04
warm,spring,6.14,10.19,7.05,15.76,19.91,18.13,9.38,16.74,10.29
warm,spring,7.77,14.84,15.54,13.52,25.11,28.24,18.18,21.82,18.69
warm,spring,8.21,12.41,11.48,23.61,21.78,20.78,14.12,19.59,17.5
warm,spring,9.06,13.45,13.94,14.59,21.68,22.65,22.94,23.27,21.51
warm,spring,11.8,5.92,6.23,31.08,16.18,17.24,15.65,7.27,6.86
warm,spring,17.81,10.23,12.46,18.97,17.57,19.76,41.25,21.54,20.82
warm,spring,8.38,12.83,11.17,13.45,21.08,17.98,22.5,22.98,23.41
warm,spring,12.17,18.94,12.56,17.07,30.22,19.26,27.14,22.94,22.98
warm,spring,9.69,13.6,13.28,15.45,22.12,21.7,23.33,22.8,21.18
warm,spring,4.46,14.99,7.34,7.63,23.81,12.2,18.95,22.91,20.0
warm,spring,6.02,10.31,7.36,12.99,20.61,17.26,12.0,14.04,9.23
warm,spring,2.08,19.87,16.38,7.56,31.84,26.98,4.62,19.23,17.65
warm,spring,7.32,12.54,9.92,16.96,25.54,22.78,9.23,12.2,7.78
warm,spring,10.0,28.82,11.09,19.01,52.66,20.99,14.35,25.62,14.12
warm,spring,14.66,12.66,12.48,19.26,23.08,15.98,30.64,25.71,32.31
warm,spring,6.12,14.1,8.78,18.23,33.55,25.43,7.27,18.82,8.18
warm,spring,8.42,14.83,5.26,15.87,31.34,14.1,20.0,14.29,5.63
warm,spring,10.59,12.97,10.14,18.91,21.4,18.15,17.33,19.62,16.0
warm,spring,10.23,11.29,4.38,32.05,30.86,17.06,7.2,8.89,358.33
warm,spring,11.23,12.58,7.77,12.39,16.5,8.09,43.45,38.82,47.37
warm,spring,9.53,15.14,14.69,18.75,27.19,28.89,13.33,17.42,13.85
warm,spring,9.87,11.31,11.27,17.41,32.69,21.47,24.0,24.71,21.95
warm,spring,8.61,16.2,12.59,17.45,39.08,28.37,16.22,12.35,11.19
warm,spring,9.28,12.53,7.37,25.16,22.03,16.02,13.85,19.2,11.35
warm,spring,8.57,12.55,9.58,15.0,20.33,16.67,18.33,20.82,17.56
warm,spring,2.19,14.35,4.85,9.35,27.62,7.88,4.62,22.8,22.11
warm,spring,4.71,16.45,6.6,12.5,32.97,16.29,6.43,20.0,8.33
warm,spring,6.82,16.0,12.48,12.97,24.62,19.82,15.48,30.61,24.0
warm,spring,7.0,11.64,4.0,24.32,38.84,18.18,6.67,11.49,358.12
warm,spring,4.27,16.51,3.18,10.96,40.74,8.2,7.2,13.64,6.0
warm,spring,5.74,12.04,5.19,13.44,21.46,11.86,7.06,15.85,8.0
warm,spring,1.92,14.22,6.07,4.18,26.34,13.45,12.0,20.0,12.0
warm,spring,9.38,12.79,4.42,14.5,24.05,6.79,31.03,30.0,28.0
warm,spring,7.75,10.88,14.55,13.86,19.66,19.09,23.57,27.43,31.3
warm,spring,6.38,10.17,11.62,19.5,21.35,23.35,9.68,17.56,18.26
warm,spring,2.85,12.12,3.13,7.56,29.08,9.48,7.06,10.53,2.73
warm,spring,11.18,17.76,13.54,19.34,30.9,25.62,17.87,17.5,13.55
warm,spring,28.07,24.14,3.0,53.3,47.29,15.77,16.0,14.38,353.68
warm,spring,1.37,12.57,0.17,11.52,39.1,14.14,351.82,5.9,345.0
warm,spring,9.79,12.04,9.75,16.14,34.53,17.27,23.33,13.75,20.53
warm,spring,5.88,14.08,13.67,10.98,22.98,22.5,15.56,21.11,20.0
cool,summer,3.78,4.74,7.27,4.44,8.89,11.3,42.0,26.25,25.38
cool,summer,16.87,9.49,14.91,19.72,34.62,16.37,44.29,6.67,45.41
cool,summer,1.8,5.4,2.56,9.91,13.17,10.57,354.55,11.11,357.5
cool,summer,9.34,8.66,9.94,25.35,25.49,28.22,4.36,3.46,4.21
cool,summer,2.81,7.44,5.41,20.69,19.64,21.2,351.43,5.45,357.39
cool,summer,11.84,6.8,12.76,23.94,14.94,23.38,15.29,10.0,16.67
cool,summer,5.42,8.58,6.48,13.43,16.5,13.89,11.11,19.41,14.0
cool,summer,4.77,4.91,5.92,11.4,11.95,13.62,9.23,8.89,9.38
cool,summer,6.9,6.52,5.85,12.84,19.21,11.45,19.29,12.41,16.15
cool,summer,5.2,9.46,4.25,11.3,35.77,11.48,11.11,6.82,4.29
